Accn	Pfam	Pfam_desc	CDD	CDD_desc	InterPro	InterPro_desc	GO	KEGG	EC	TIGRFAM	TIGRFAM_desc	HAMAP	HAMAP_desc	CAZy	KoFamScan
k141_15486_507_3634_+	PF01026;PF01558;PF01855;PF02775	TatD related DNase;Pyruvate ferredoxin/flavodoxin oxidoreductase;Pyruvate flavodoxin/ferredoxin oxidoreductase, thiamine diP-bdg;Thiamine pyrophosphate enzyme, C-terminal TPP binding domain			IPR001130;IPR019752;IPR002880;IPR011766;IPR015991;IPR017721	3'-5' ssDNA/RNA exonuclease TatD-like;Pyruvate/ketoisovalerate oxidoreductase, catalytic domain;Pyruvate flavodoxin/ferredoxin oxidoreductase, pyrimidine binding domain;Thiamine pyrophosphate enzyme, C-terminal TPP-binding;Uncharacterised hydrolase TatD-type;Indolepyruvate oxidoreductase subunit IorA	GO:0016788;GO:0016903;GO:0016491;GO:0003824;GO:0030976;GO:0004536;GO:0043805			TIGR00010;TIGR03336	TIGR00010: hydrolase, TatD family;IOR_alpha: indolepyruvate ferredoxin oxidoreductase, alpha subunit				K00179;K03424;K00180
k141_15486_5385_5900_+	PF02572	ATP:corrinoid adenosyltransferase BtuR/CobO/CobP			IPR003724	ATP:cob(I)alamin adenosyltransferase CobA/CobO/BtuR	GO:0005524;GO:0008817;GO:0009236			TIGR00708	cobA: cob(I)yrinic acid a,c-diamide adenosyltransferase				K19221
k141_15486_5990_7906_-	PF00724;PF07992	NADH:flavin oxidoreductase / NADH oxidase family;Pyridine nucleotide-disulphide oxidoreductase			IPR001155;IPR023753	NADH:flavin oxidoreductase/NADH oxidase, N-terminal;FAD/NAD(P)-binding domain	GO:0010181;GO:0016491								K10797
k141_15486_8131_8649_+															
k141_15486_8650_11074_+	PF01118;PF01960;PF02774	Semialdehyde dehydrogenase, NAD binding domain;ArgJ family;Semialdehyde dehydrogenase, dimerisation domain			IPR000706;IPR002813;IPR000534;IPR012280	N-acetyl-gamma-glutamyl-phosphate reductase, type 1;Arginine biosynthesis protein ArgJ;Semialdehyde dehydrogenase, NAD-binding;Semialdehyde dehydrogenase, dimerisation domain	GO:0003942;GO:0006526;GO:0070401;GO:0004358;GO:0016620;GO:0051287;GO:0008652;GO:0046983			TIGR00120;TIGR01850	ArgJ: glutamate N-acetyltransferase/amino-acid acetyltransferase;argC: N-acetyl-gamma-glutamyl-phosphate reductase	MF_00150;MF_01106	N-acetyl-gamma-glutamyl-phosphate reductase [argC].;Arginine biosynthesis bifunctional protein ArgJ [argJ].		K00620;K00145
k141_15497_1_1078_-	PF01656;PF02706;PF13807	CobQ/CobB/MinD/ParA nucleotide binding domain;Chain length determinant protein;G-rich domain on putative tyrosine kinase			IPR002586;IPR003856;IPR032807	CobQ/CobB/MinD/ParA nucleotide binding domain;Polysaccharide chain length determinant N-terminal domain;Tyrosine kinase, G-rich domain	-;GO:0009103;GO:0016020								
k141_15497_1167_1383_-															
k141_15502_1_1200_+	PF13177	DNA polymerase III, delta subunit			-;IPR004622;IPR012763	-;DNA polymerase III, delta prime subunit;DNA polymerase III, subunit gamma/ tau, N-terminal	GO:0003887;GO:0006260;GO:0008408;GO:0005524;GO:0009360			TIGR00678;TIGR02397	holB: DNA polymerase III, delta' subunit;dnaX_nterm: DNA polymerase III, subunit gamma and tau				K02343;K02341
k141_15511_125_2294_-	PF00535;PF04932	Glycosyl transferase family 2;O-Antigen ligase			IPR001173;IPR007016	Glycosyltransferase 2-like;O-antigen ligase-related	-							GT2_Glycos_transf_2;GT81	
k141_1551_11661_14879_-	PF02142;PF02786;PF02787	MGS-like domain;Carbamoyl-phosphate synthase L chain, ATP binding domain;Carbamoyl-phosphate synthetase large chain, oligomerisation domain			IPR006275;IPR011607;IPR005479;IPR005480	Carbamoyl-phosphate synthase, large subunit;Methylglyoxal synthase-like domain;Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain;Carbamoyl-phosphate synthetase, large subunit oligomerisation domain	GO:0006807;-;GO:0005524			TIGR01369	CPSaseII_lrg: carbamoyl-phosphate synthase, large subunit	MF_01210_A;MF_01210_B	Carbamoyl-phosphate synthase large chain [carB].;Carbamoyl-phosphate synthase large chain [carB].		K01955
k141_1551_1_1676_-	PF02504;PF08545	Fatty acid synthesis protein;3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III			IPR012281;IPR003664;IPR013751	Phospholipid biosynthesis protein, PlsX-like;Fatty acid synthesis PlsX protein;Beta-ketoacyl-[acyl-carrier-protein] synthase III, N-terminal	GO:0006633;GO:0003824;GO:0016747;GO:0004315			TIGR00182	plsX: fatty acid/phospholipid synthesis protein PlsX	MF_00019	Phosphate acyltransferase [plsX].		K03621;K00648
k141_15511_1_94_+															
k141_15511_2370_3473_-	PF00534;PF13439	Glycosyl transferases group 1;Glycosyltransferase Family 4			IPR001296;IPR028098	Glycosyl transferase, family 1;Glycosyltransferase subfamily 4-like, N-terminal domain	GO:0016757;-							GT4;GT5	K19422
k141_1551_14970_17017_-	PF00117;PF00215;PF00988	Glutamine amidotransferase class-I;Orotidine 5'-phosphate decarboxylase / HUMPS family;Carbamoyl-phosphate synthase small chain, CPSase domain			IPR006274;IPR011995;IPR017926;IPR001754;IPR002474	Carbamoyl-phosphate synthase, small subunit;Orotidine 5'-phosphate decarboxylase, type 2;Glutamine amidotransferase;Orotidine 5'-phosphate decarboxylase domain;Carbamoyl-phosphate synthase small subunit, N-terminal domain	GO:0004088;GO:0006207;GO:0006541;GO:0004590;GO:0006221;-			TIGR01368;TIGR02127	CPSaseIIsmall: carbamoyl-phosphate synthase, small subunit;pyrF_sub2: orotidine 5'-phosphate decarboxylase	MF_01209;MF_01215	Carbamoyl-phosphate synthase small chain [carA].;Orotidine 5'-phosphate decarboxylase [pyrF].		K01956;K01591
k141_1551_17149_19357_-	PF00185;PF01979;PF02729	Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain;Amidohydrolase family;Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding domain			IPR002082;IPR004722;IPR006131;IPR006680;IPR006132;-	Aspartate carbamoyltransferase;Dihydroorotase;Aspartate/ornithine carbamoyltransferase, Asp/Orn-binding domain;Amidohydrolase-related;Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding;-	GO:0004070;GO:0006207;GO:0004151;GO:0006221;GO:0046872;GO:0006520;GO:0016597;GO:0016743;GO:0016787			TIGR00670;TIGR00857	asp_carb_tr: aspartate carbamoyltransferase;pyrC_multi: dihydroorotase, multifunctional complex type	MF_00001;MF_00220_B	Aspartate carbamoyltransferase [pyrB].;Dihydroorotase [pyrC].		K01465;K00609
k141_1551_1738_2395_-	PF08220	DeoR-like helix-turn-helix domain			IPR001034	DeoR-type HTH domain	GO:0003700;GO:0006355								
k141_1551_19637_20191_-	PF00156	Phosphoribosyl transferase domain			IPR023050;IPR000836	Bifunctional protein PyrR;Phosphoribosyltransferase domain	-					MF_01219	Bifunctional protein PyrR [pyrR].		K02825
k141_1551_20479_20900_-	PF12670	Protein of unknown function (DUF3792)			IPR023804	Protein of unknown function DUF3792, transmembrane	-			TIGR04086	TIGR04086_membr: putative membrane protein, TIGR04086 family				
k141_1551_20941_21033_+															
k141_1551_21083_21664_+	PF16760	Starch/carbohydrate-binding module (family 53)			IPR005085	Carbohydrate binding module family 25	GO:2001070							CBM25	
k141_15512_1146_1408_+															
k141_15512_1_356_+	PF06271	RDD family			IPR010432	RDD	-								
k141_15512_1424_1902_+	PF06032	Protein of unknown function (DUF917)			IPR010318	Protein of unknown function DUF917	-								K09703
k141_1551_21710_22027_-	PF02699	Preprotein translocase subunit			IPR003849	Preprotein translocase YajC	-			TIGR00739	yajC: preprotein translocase, YajC subunit				K03210
k141_1551_22112_23254_-	PF01702	Queuine tRNA-ribosyltransferase			IPR004803;IPR002616	tRNA-guanine transglycosylase;tRNA-guanine(15) transglycosylase-like	GO:0008479;GO:0101030;GO:0006400;GO:0016763			TIGR00430;TIGR00449	Q_tRNA_tgt: tRNA-guanine transglycosylase;tgt_general: tRNA-guanine family transglycosylase	MF_00168	Queuine tRNA-ribosyltransferase [tgt].		K00773
k141_1551_23300_24325_-	PF02547	Queuosine biosynthesis protein			IPR003699	S-adenosylmethionine:tRNA ribosyltransferase-isomerase,  QueA	GO:0016740;GO:0016853			TIGR00113	queA: S-adenosylmethionine:tRNA ribosyltransferase-isomerase	MF_00113	S-adenosylmethionine:tRNA ribosyltransferase-isomerase [queA].		K07568
k141_1551_24436_24576_+															
k141_1551_24581_26318_-	PF08486	Stage II sporulation protein			IPR013693;IPR013486	Sporulation stage II protein D, amidase enhancer LytB N-terminal;Sporulation stage II protein D, amidase enhancer LytB	-;GO:0030435			TIGR02669	SpoIID_LytB: SpoIID/LytB domain				K06381
k141_15512_472_1107_+	PF04199	Putative cyclase			IPR007325	Kynurenine formamidase/cyclase-like	GO:0004061;GO:0019441								K07130
k141_1551_26487_26705_+															
k141_1551_2657_3973_-															
k141_1551_4269_6240_-	PF00919;PF01066;PF04055;PF18693	Uncharacterized protein family UPF0004;CDP-alcohol phosphatidyltransferase;Radical SAM superfamily;TRAM domain			IPR005840;IPR013848;IPR000462;IPR007197;IPR041582;IPR005839;IPR004570	Ribosomal protein S12 methylthiotransferase RimO;Methylthiotransferase, N-terminal;CDP-alcohol phosphatidyltransferase;Radical SAM;RimO, TRAM domain;Methylthiotransferase;CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	GO:0005737;GO:0016740;GO:0018339;GO:0051539;GO:0035596;GO:0008654;GO:0016020;GO:0016780;GO:0003824;GO:0051536;-;GO:0006400;GO:0008444			TIGR00089;TIGR00560;TIGR01125	TIGR00089: radical SAM methylthiotransferase, MiaB/RimO family;pgsA: CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase;TIGR01125: ribosomal protein S12 methylthiotransferase RimO	MF_01865	Ribosomal protein S12 methylthiotransferase RimO [rimO].		K14441;K00995
k141_1551_6377_9845_-	PF00149;PF00300;PF13476	Calcineurin-like phosphoesterase;Histidine phosphatase superfamily (branch 1);AAA domain			IPR004843;IPR013078;IPR038729	Calcineurin-like phosphoesterase domain, ApaH type;Histidine phosphatase superfamily, clade-1;Rad50/SbcC-type AAA domain	GO:0016787;-;GO:0140664								K22305
k141_1551_9934_11635_-	PF00175;PF00970;PF01180;PF10418	Oxidoreductase NAD-binding domain;Oxidoreductase FAD-binding domain;Dihydroorotate dehydrogenase;Iron-sulfur cluster binding domain of dihydroorotate dehydrogenase B			IPR024920;IPR023455;IPR001433;IPR008333;IPR005720;IPR019480	Dihydroorotate dehydrogenase, class 1;Dihydroorotate dehydrogenase electron transfer subunit;Oxidoreductase FAD/NAD(P)-binding;Flavoprotein pyridine nucleotide cytochrome reductase-like, FAD-binding domain;Dihydroorotate dehydrogenase domain;Dihydroorotate dehydrogenase, electron transfer subunit, iron-sulphur cluster binding domain	GO:0004152;GO:0005737;GO:0006221;-;GO:0016491;GO:0016627			TIGR01037	pyrD_sub1_fam: dihydroorotate dehydrogenase family protein	MF_00224;MF_01211	Dihydroorotate dehydrogenase [pyrD].;Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit [pyrK].		K17828;K02823
k141_15521_121_1266_-	PF06782	Uncharacterised protein family (UPF0236)			IPR009620	Uncharacterised protein family UPF0236	-								
k141_15521_1591_2119_-															
k141_15521_1_83_-															
k141_15521_2638_3952_-	PF19863	Family of unknown function (DUF6337)			IPR045918	Protein of unknown function DUF6337	-								
k141_15521_4098_5072_-	PF00535	Glycosyl transferase family 2			IPR001173	Glycosyltransferase 2-like	-							GT2_Glycos_transf_2	
k141_15521_5175_5257_+															
k141_15531_11708_12803_-	PF01656	CobQ/CobB/MinD/ParA nucleotide binding domain			IPR002586	CobQ/CobB/MinD/ParA nucleotide binding domain	-								K07321
k141_15531_12936_13418_+	PF00252	Ribosomal protein L16p/L10e			IPR022981;IPR016180;IPR001197	Ribosomal protein L10e, archaea;Ribosomal protein L10e/L16;Ribosomal protein L10e	-;GO:0003735;GO:0005840;GO:0006412			TIGR00279	uL16_euk_arch: ribosomal protein uL16	MF_00448	50S ribosomal protein L10e [rpl10e].		K02866
k141_15531_13474_15744_+	PF00391;PF01326;PF02896	PEP-utilising enzyme, mobile domain;Pyruvate phosphate dikinase, AMP/ATP-binding domain;PEP-utilising enzyme, PEP-binding domain			IPR008279;IPR002192;IPR000121;IPR006319	PEP-utilising enzyme, mobile domain;Pyruvate phosphate dikinase, AMP/ATP-binding;PEP-utilising enzyme, C-terminal;Phosphoenolpyruvate synthase	GO:0016310;GO:0016772;GO:0005524;GO:0016301;GO:0006090;GO:0008986			TIGR01418	PEP_synth: phosphoenolpyruvate synthase				K01007
k141_15531_15766_16923_+	PF00282	Pyridoxal-dependent decarboxylase conserved domain			IPR020931;IPR002129	Decarboxylase MfnA, archaea;Pyridoxal phosphate-dependent decarboxylase	GO:0016831;GO:0016830;GO:0019752;GO:0030170			TIGR03812	tyr_de_CO2_Arch: tyrosine decarboxylase MnfA	MF_01610	Probable L-tyrosine/L-aspartate decarboxylase [mfnA].		K18933
k141_15531_16945_17442_+	PF05683	Fumarase C-terminus			IPR004647	Fe-S hydro-lyase, tartrate dehydratase beta-type, catalytic domain	GO:0016836								
k141_15531_1733_2221_+	PF02505	Methyl-coenzyme M reductase operon protein D			IPR003901	Methyl-coenzyme M reductase, protein D	GO:0015948			TIGR03260	met_CoM_red_D: methyl-coenzyme M reductase operon protein D				K03422
k141_15531_17465_18177_-	PF14681	Uracil phosphoribosyltransferase			IPR034331;-;IPR005765	Uracil phosphoribosyltransferase, archaea;-;Uracil phosphoribosyl transferase	GO:0004845;GO:0006223			TIGR01091	upp: uracil phosphoribosyltransferase	MF_01218_A	Uracil phosphoribosyltransferase [upp].		
k141_15531_18204_20516_-	PF01994;PF02654;PF04608	tRNA ribose 2'-O-methyltransferase, aTrm56;Cobalamin-5-phosphate synthase;Phosphatidylglycerophosphatase A			IPR002845;IPR003805;IPR007686;IPR017577	tRNA ribose 2'-O-methyltransferase, aTrm56;Adenosylcobinamide-GDP ribazoletransferase;YutG/PgpA domain;Alpha-ribazole phosphatase, CobZ	GO:0002128;GO:0005737;GO:0008175;GO:0008818;GO:0051073;GO:0006629;GO:0008962;-			TIGR00317;TIGR03161	cobS: cobalamin 5'-phosphate synthase;ribazole_CobZ: alpha-ribazole phosphatase CobZ	MF_00077;MF_00719	tRNA (cytidine(56)-2'-O)-methyltransferase.;Adenosylcobinamide-GDP ribazoletransferase [cobS].		K07254;K02233
k141_15531_20541_20960_+	PF10126	Uncharacterized protein, homolog of nitrogen regulatory protein PII			IPR019296	Uncharacterised protein family, nitrogen regulatory protein PII-related	-								
k141_15531_20978_22213_+	PF01969	Nickel insertion protein			IPR002822	Nickel insertion protein	-			TIGR00299	TIGR00299: TIGR00299 family protein	MF_01074	Pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel insertion protein [larC].		K09121
k141_15531_22240_22878_+	PF06508	Queuosine biosynthesis protein QueC			IPR018317	Queuosine biosynthesis protein QueC	-			TIGR00364	TIGR00364: queuosine biosynthesis protein QueC	MF_01633	7-cyano-7-deazaguanine synthase [queC].		K06920
k141_15531_2237_4968_+	PF02240;PF02249;PF02745	Methyl-coenzyme M reductase gamma subunit;Methyl-coenzyme M reductase alpha subunit, C-terminal domain;Methyl-coenzyme M reductase alpha subunit, N-terminal domain			IPR003178;IPR009047;IPR003183;IPR016212	Methyl-coenzyme M reductase, gamma subunit;Methyl-coenzyme M reductase, alpha subunit, C-terminal;Methyl-coenzyme M reductase, alpha subunit, N-terminal;Methyl coenzyme M reductase, alpha subunit	GO:0015948;GO:0050524			TIGR03256;TIGR03259	met_CoM_red_alp: methyl-coenzyme M reductase, alpha subunit;met_CoM_red_gam: methyl-coenzyme M reductase, gamma subunit				K00399;K00402
k141_15531_23039_23325_-	PF00364	Biotin-requiring enzyme			IPR000089	Biotin/lipoyl attachment	-								
k141_15531_385_1716_+	PF02241;PF02783	Methyl-coenzyme M reductase beta subunit, C-terminal domain;Methyl-coenzyme M reductase beta subunit, N-terminal domain			IPR022679;IPR022680;IPR003179	Methyl-coenzyme M reductase, beta subunit, C-terminal;Methyl-coenzyme M reductase, beta subunit, N-terminal;Methyl-coenzyme M reductase, beta subunit	GO:0050524;GO:0015948			TIGR03257	met_CoM_red_bet: methyl-coenzyme M reductase, beta subunit				K00401
k141_15531_5030_6558_-	PF01979	Amidohydrolase family			IPR004722;IPR006680;-	Dihydroorotase;Amidohydrolase-related;-	GO:0004151;GO:0006221;GO:0046872;GO:0016787			TIGR00857	pyrC_multi: dihydroorotase, multifunctional complex type	MF_00220_A	Dihydroorotase [pyrC].		K01465
k141_15531_6665_8505_+	PF00254;PF05636;PF16581;PF18046	FKBP-type peptidyl-prolyl cis-trans isomerase;HIGH Nucleotidyl Transferase;Cytidyltransferase-related C-terminal region;FKBP26_C-terminal			IPR001179;IPR008513;IPR032266;IPR040825	FKBP-type peptidyl-prolyl cis-trans isomerase domain;tRNA(Met) cytidine acetate ligase;Putative cytidyltransferase-related, C-terminal region;FKBP26, C-terminal	GO:0003755;-								K03775
k141_15531_8587_9738_+	PF02518;PF07568	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase;Histidine kinase			IPR003594;IPR011495	Histidine kinase/HSP90-like ATPase;Signal transduction histidine kinase, subgroup 2, dimerisation and phosphoacceptor domain	-								K00936
k141_15531_9765_11668_-	PF00587;PF18490	tRNA synthetase class II core domain (G, H, P, S and T);tRNA-binding domain			IPR004503;IPR002314;IPR041293	Serine-tRNA ligase type 2, archaea;Aminoacyl-tRNA synthetase, class II (G/ P/ S/T);Serine-tRNA ligase type 2, tRNA-binding domain	GO:0000166;GO:0004828;GO:0005524;GO:0005737;GO:0006434;GO:0004812;GO:0006418;-			TIGR00415	serS_MJ: serine--tRNA ligase	MF_01278	Type-2 serine--tRNA ligase [serS].		K01875
k141_15537_1_1057_-	PF00583	Acetyltransferase (GNAT) family			IPR000182	GNAT domain	GO:0016747								
k141_15537_1257_2763_-	PF01548	Transposase			IPR002525	Transposase, IS111A/IS1328/IS1533, N-terminal	GO:0003677;GO:0004803;GO:0006313								K07486
k141_15537_2946_4003_-	PF04422;PF04432	Coenzyme F420 hydrogenase/dehydrogenase, beta subunit N-term;Coenzyme F420 hydrogenase/dehydrogenase, beta subunit C terminus			IPR007516;IPR007525	Coenzyme F420 hydrogenase/dehydrogenase beta subunit, N-terminal;Coenzyme F420 hydrogenase/dehydrogenase beta subunit, C-terminal	-								
k141_15537_4100_6663_-	PF00534;PF04230;PF13439	Glycosyl transferases group 1;Polysaccharide pyruvyl transferase;Glycosyltransferase Family 4			IPR001296;IPR007345;IPR028098	Glycosyl transferase, family 1;Polysaccharide pyruvyl transferase;Glycosyltransferase subfamily 4-like, N-terminal domain	GO:0016757;-							GT4	
k141_15537_6848_7036_+															
k141_15541_1_788_+	PF18128;PF18133	Hydrogen maturase F dimerization domain;Hydrogen maturase F tetramerization domain			IPR041606;IPR040644	Hydrogen maturase F dimerization domain;Hydrogen maturase F, tetramerization domain	-								
k141_15541_3008_3273_+															
